time,ir
20651,112756
20671,112748
20691,112747
20711,112745
20731,112759
20752,112780
20771,112780
20792,112785
20811,112766
20832,112788
20851,112775
20872,112773
20891,112788
20913,112808
20933,112788
20953,112790
20973,112794
20993,112803
21013,112811
21032,112803
21053,112825
21072,112825
21093,112809
21112,112791
21133,112785
21154,112763
21174,112756
21194,112742
21214,112757
21234,112758
21254,112765
21274,112776
21294,112773
21314,112778
21334,112773
21354,112771
21374,112794
21395,112794
21415,112796
21435,112794
21455,112795
21476,112806
21495,112811
21516,112822
21535,112817
21556,112812
21575,112821
21596,112817
21615,112800
21636,112814
21657,112821
21677,112821
21697,112834
21716,112813
21737,112820
21756,112796
21777,112787
21796,112805
21817,112822
21836,112843
21857,112841
21876,112830
21898,112829
21918,112834
21938,112826
21958,112825
21978,112834
21998,112816
22018,112812
22038,112812
22059,112830
22078,112828
22098,112846
22118,112865
22138,112852
22160,112866
22179,112882
22200,112878
22219,112860
22240,112856
22259,112877
22280,112858
22299,112850
22320,112834
22339,112821
22360,112839
22379,112821
22401,112844
22421,112830
22440,112821
22461,112821
22480,112828
22501,112839
22520,112833
22541,112844
22560,112851
22581,112836
22600,112806
22621,112838
22642,112856
22662,112864
22682,112893
22702,112875
22722,112872
22742,112878
22762,112885
22782,112877
22802,112871
22822,112850
22842,112837
22862,112808
22883,112785
22903,112780
22924,112774
22943,112775
22964,112766
22983,112789
23004,112792
23023,112789
23044,112803
23063,112845
23084,112846
23103,112846
23123,112834
23145,112823
23164,112810
23185,112807
23204,112817
23225,112830
23244,112819
23265,112824
23284,112837
23305,112865
23324,112884
23345,112885
23365,112881
23386,112882
23406,112846
23426,112841
23446,112800
23465,112786
23486,112786
23506,112768
23526,112789
23546,112801
23566,112799
23586,112809
23606,112814
23626,112809
23648,112830
23667,112807
23688,112840
23707,112830
23728,112837
23747,112829
23768,112877
23787,112872
23808,112882
23827,112870
23847,112889
23867,112886
23888,112876
23909,112887
23928,112904
23949,112904
23968,112880
23989,112859
24008,112865
24029,112853
24048,112864
24069,112848
24089,112883
24109,112869
24129,112865
24150,112868
24170,112867
24190,112862
24210,112881
24230,112867
24250,112864
24270,112870
24290,112853
24310,112869
24330,112851
24350,112854
24370,112847
24391,112894
24412,112917
24431,112921
24452,112904
24471,112905
24492,112901
24511,112907
24531,112876
24551,112886
24571,112858
24591,112866
24611,112842
24631,112855
24652,112858
24673,112856
24692,112843
24713,112854
24732,112854
24753,112873
24773,112885
24793,112871
24813,112854
24833,112873
24853,112852
24872,112871
24894,112862
24914,112889
24934,112842
24954,112834
24974,112844
24994,112885
25014,112916
25034,112922
25054,112912
25074,112884
25094,112902
25114,112845
25134,112834
25155,112837
25176,112853
25195,112846
25216,112874
25235,112836
25255,112813
25275,112800
25295,112787
25315,112802
25335,112833
25356,112850
25375,112875
25397,112879
25416,112863
25437,112836
25456,112794
25477,112800
25497,112789
25517,112801
25537,112836
25556,112848
25577,112879
25596,112899
25617,112918
25638,112893
25658,112893
25678,112872
25698,112832
25718,112820
25738,112837
25758,112861
25778,112853
25798,112854
25818,112840
25838,112813
25858,112813
25879,112778
25900,112790
25919,112829
25939,112828
25959,112836
25979,112839
25999,112869
26019,112845
26039,112868
26059,112844
26079,112803
26099,112820
26121,112848
26140,112890
26161,112897
26180,112913
26201,112874
26220,112883
26241,112850
26261,112844
26280,112833
26301,112832
26320,112882
26341,112887
26360,112883
26382,112867
26402,112869
26422,112850
26442,112823
26462,112798
26482,112809
26502,112835
26522,112839
26542,112853
26562,112869
26582,112893
26602,112882
26624,112867
26643,112849
26663,112808
26683,112822
26703,112822
26723,112855
26743,112861
26763,112851
26783,112877
26803,112900
26823,112893
26843,112869
26864,112852
26885,112861
26904,112873
